,x,y,root
0,63.0,54.0,
1,77.0,31.0,
2,86.0,2.0,
3,94.0,25.0,
4,13.0,56.0,
5,41.0,37.0,
6,74.0,89.0,
7,28.0,59.0,
8,54.0,32.0,
9,57.0,27.0,
10,27.0,10.0,
11,82.0,62.0,
12,10.0,12.0,
13,35.0,90.0,
14,70.0,98.0,
15,35.0,48.0,
16,9.0,61.0,
17,2.0,57.0,
18,11.0,84.0,
19,83.0,62.0,
20,64.0,83.0,
21,46.0,72.0,
22,98.0,71.0,
23,14.0,35.0,
24,91.0,84.0,
25,11.0,49.0,
26,22.0,78.0,
27,0.0,53.0,
28,99.0,47.0,
29,19.0,37.0,
30,63.0,89.0,
31,8.0,74.0,
32,98.0,65.0,
33,58.0,33.0,
34,49.0,36.0,
35,35.0,40.0,
36,17.0,58.0,
37,50.0,94.0,
38,93.0,74.0,
39,33.0,76.0,
40,51.0,63.0,
41,22.0,0.0,
42,11.0,99.0,
43,10.0,4.0,
44,34.0,20.0,
45,21.0,51.0,
46,44.0,80.0,
47,39.0,50.0,
48,50.0,64.0,
49,90.0,89.0,
0,,,1.0
